kréyòl;francais
awa;non
babawaz;bavaroise
tété;sein, tétée
nwè;noir
bwè;boire
flègèdè;gringalet
gagous;bajoues
hòlbò;rustre
fizi;fusil
jannton;hanneton
kalazyé;paupières
lolo;petite epicerie
masko;esquive
étenn;éteindre
poto;poteau
kòkòlò;iule
pipigné;grignoter
rakoun;Raton-laveur
sizé;s’assoir
twèl;toile
vonyon;bourdon
wouj;rouge
wassou;ouassou
fèy;feuille
pay;paille
zòyé;oreillé
zannanna;ananas
zendyen;indien
mwen;moi
machin;machin
Jàn;Jeanne
jandam;gendarme
bouton;massue
fengnan;fainéant
macon;mason
passé;pasé
patience;pasyans
coq;còk
orchestre;òwkès
rempli;ranpli
bambou;banbou
fente;fant
nez;né
danser;dansé
hélice;élis
pain;pen
lapin;lapen
timbale;tenbal
bateau;bato
tête;tèt
raide;rèd
chaud;cho
girafe;jiraf
jauge;jòj
rougeole;woujòl
maillot;mayo
billet;biyé
Eloi;Elwa
poisson;pwasson
gâteau;gato
guitare;gita
guéri;géri
sifflet;siflèt
photo;foto
coffre;kòf
examen;lègzamen
six;sis
dix;dis
taxi;taksi
sixième;sizyèm
bêtise;bétiz
causer;kozé
poule;poul
farine;farin
bouche;djèl
bouche;bouch
crabe;krab
de l’eau;dlo
sabre;sab
lire;li
peinture;penti
piqûre;piki
voiture;vwati
voiture;loto
compère;konpè
phare;fa
sucre;sik
genou;jinou
femelle;fimèl
remèd;rimèd
chemise;chimiz
semer;simé
venu;vini
debout;dibout
debout;doubout
devant;divan
devant;douvan
besoin;bizwen
besoin;bouzwen
remettre;woumèt
remettre;rimèt
jus;ji
du vin;diven
cheval;chival
cheval;chouval
lecon;lison
du feu;difé
du riz;diri
deux;dé
malheureux;maléré
jeux;jé
neveu;nivé
cheuveux;chivé
bleu;blé
chaleur;chalè
malheur;malè
couleur;koulè
coeur;kè
l’heure;lè
beurre;bè
lundi;lendi
commun;komen
défunt;défen
